id,web_name,status,defcons,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,match_id,minutes_played,goals,assists,minutesinmatch,goalsinmatch,assistsinmatch,cumminutes,cumgoals,cumassists,cumcleansheets,cumgoalsconceded,cumsaves,position,nextgwpoints,gw2status,gw2min,gw2goalsscored,gw2assists,gw2cs,gw2goals_conceded,gw2defcons,gw2match-id,gw2minutes_playedinmatch,gw2goalsinmatch,gw2assistsinmatch,gw2cummins,gw2cumgoals,gw2cumassits,gw2cumcs,gw2cumgoalsconceded,gw2cumsaves,gw3status,gw3min,gw3goalsscored,gw3assists,gw3cs,gw3defcons,gw3points,gw3match-id,gw3minutes_playedinmatch,gw3goalsinmatch,gw3goals_conceded,gw3assistsinmatch,gw3cummins,gw3cumgoals,gw3cumassists,gw3cumcs,gw3cumgoalsconceded,gw3cumsdefcons,gw3cumsaves,gw3cumtotalpoints,nwxtgwpoints
28,Kabia,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
29,Sambi,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,a,0,0,0,0,0,0,#N/A,#N/A,,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
30,Havertz,i,3,1,30,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,30,0,0,30,0,0,30,0,0,0,0,0,Forward,0,i,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,30,0,0,0,0,0,i,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,30,0,0,0,0,3,0,1,3
31,G.Jesus,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Forward,0,i,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,i,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,16
266,Eze,a,7,3,83,0,0,1,0,25-26-prem-chelsea-vs-crystal-palace,84,0,0,84,0,0,83,0,0,1,0,0,Midfielder,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,83,0,0,0,1,0,a,20,0,0,0,1,1,25-26-prem-liverpool-vs-arsenal,20,0,1,0,103,0,0,1,1,8,0,4,0
662,Mosquera,i,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender,1,a,26,0,0,0,0,2,25-26-prem-arsenal-vs-leeds-united,26,0,0,26,0,0,0,0,0,a,85,0,0,0,1,12,25-26-prem-liverpool-vs-arsenal,85,0,1,0,111,0,0,0,1,14,0,3,0
666,Gyökeres,a,2,1,59,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,60,0,0,60,0,0,59,0,0,0,0,0,Forward,12,a,90,2,0,1,0,5,25-26-prem-arsenal-vs-leeds-united,90,2,0,149,2,2,0,1,0,a,90,0,0,0,1,2,25-26-prem-liverpool-vs-arsenal,90,0,1,0,239,2,0,1,1,9,0,14,0
700,Dowman,i,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,4,a,26,0,1,0,0,3,25-26-prem-arsenal-vs-leeds-united,26,0,0,26,0,0,1,0,0,a,1,0,0,0,0,0,25-26-prem-liverpool-vs-arsenal,1,0,0,0,27,0,1,0,0,3,0,5,0
711,Harriman-Annous,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,6
725,Hincapie,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,7
