id,web_name,status,defensive_contribution_per_90,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,match_id,minutes_played,goals,assists,minutesinmatch,goalsinmatch,assistsinmatch,cumminutes,cumgoals,cumassists,cumcleansheets,cumgoalsconceded,cumsaves,position
676,Ugochukwu,a,7.44,1,27,0,0,0,1,25-26-prem-tottenham-hotspur-vs-burnley,27,0,0,27,0,0,27,0,0,0,1,0,Midfielder
680,Broja,a,5.05,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Forward
722,Florentino,a,13.01,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
66,Neto,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
67,Petrović,a,0,2,90,0,0,0,4,25-26-prem-liverpool-vs-afc-bournemouth,90,0,0,90,0,0,90,0,0,0,4,6,Goalkeeper
68,Dennis,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
69,McKenna,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
70,Paulsen,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
71,Zabarnyi,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
72,Senesi,d,12.64,2,90,0,0,0,4,25-26-prem-liverpool-vs-afc-bournemouth,90,0,0,90,0,0,90,0,0,0,4,0,Defender
73,Smith,a,4.66,1,89,0,0,0,3,25-26-prem-liverpool-vs-afc-bournemouth,89,0,0,89,0,0,89,0,0,0,3,0,Defender
74,Truffert,a,7.42,0,90,0,0,0,4,25-26-prem-liverpool-vs-afc-bournemouth,90,0,0,90,0,0,90,0,0,0,4,0,Defender
75,Akinmboni,d,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
76,Bevan,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
77,Hill,a,8.07,1,1,0,0,0,1,25-26-prem-liverpool-vs-afc-bournemouth,1,0,0,1,0,0,1,0,0,0,1,0,Defender
78,J.Araujo,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
79,Mepham,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
80,Soler,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
81,Kluivert,a,5.7,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
82,Semenyo,a,7.79,15,90,2,0,0,4,25-26-prem-liverpool-vs-afc-bournemouth,90,2,0,90,2,0,90,2,0,0,4,0,Midfielder
84,Tavernier,a,8.33,4,90,0,0,0,4,25-26-prem-liverpool-vs-afc-bournemouth,90,0,0,90,0,0,90,0,0,0,4,0,Midfielder
85,Adams,a,10.95,4,90,0,0,0,3,25-26-prem-liverpool-vs-afc-bournemouth,89,0,0,89,0,0,90,0,0,0,3,0,Midfielder
86,Brooks,a,7.13,4,83,0,1,0,2,25-26-prem-liverpool-vs-afc-bournemouth,84,0,1,84,0,1,83,0,1,0,2,0,Midfielder
87,Christie,i,10.96,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
88,Cook,s,15.56,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
89,Philip,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
90,Scott,a,11.14,2,73,0,0,0,2,25-26-prem-liverpool-vs-afc-bournemouth,74,0,0,74,0,0,73,0,0,0,2,0,Midfielder
91,Sinisterra,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
92,Faivre,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
93,H.Traorè,u,22.5,4,16,0,1,0,2,25-26-prem-liverpool-vs-afc-bournemouth,16,0,1,16,0,1,16,0,1,0,2,0,Midfielder
94,Sadi,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
95,Silcott-Duberry,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
96,Winterburn,u,0,1,6,0,0,0,2,25-26-prem-liverpool-vs-afc-bournemouth,6,0,0,6,0,0,6,0,0,0,2,0,Midfielder
97,Evanilson,a,3.76,1,90,0,0,0,4,25-26-prem-liverpool-vs-afc-bournemouth,90,0,0,90,0,0,90,0,0,0,4,0,Forward
98,Enes Ünal,a,5.29,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Forward
99,Adu-Adjei,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Forward
100,Kroupi.Jr,a,6.43,1,1,0,0,0,1,25-26-prem-liverpool-vs-afc-bournemouth,1,0,0,1,0,0,1,0,0,0,1,0,Forward
391,Gannon-Doak,i,5.09,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
685,Diakité,a,8.35,0,90,0,0,0,4,25-26-prem-liverpool-vs-afc-bournemouth,90,0,0,90,0,0,90,0,0,0,4,0,Defender
687,Rees-Dottin,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
697,Adli,a,12.66,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
713,A.Jimenez,a,5.4,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
721,Milosavljević,i,9.62,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
756,DaCosta,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
27,Nelson,d,29.03,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
83,O.Dango,a,8.16,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
101,Kelleher,a,0,1,90,0,0,0,3,25-26-prem-nottingham-forest-vs-brentford,90,0,0,90,0,0,90,0,0,0,3,2,Goalkeeper
102,Balcombe,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
103,Cox,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
104,Eyestone,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
105,Valdimarsson,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
106,Collins,a,10.44,0,90,0,0,0,3,25-26-prem-nottingham-forest-vs-brentford,90,0,0,90,0,0,90,0,0,0,3,0,Defender
107,Lewis-Potter,a,4.78,1,68,0,0,0,3,25-26-prem-nottingham-forest-vs-brentford,69,0,0,69,0,0,68,0,0,0,3,0,Defender
108,Ajer,a,7.92,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
109,Henry,a,5.02,1,87,0,0,0,3,25-26-prem-nottingham-forest-vs-brentford,88,0,0,88,0,0,87,0,0,0,3,0,Defender
110,Kayode,a,6.38,1,90,0,0,0,3,25-26-prem-nottingham-forest-vs-brentford,90,0,0,90,0,0,90,0,0,0,3,0,Defender
111,Pinnock,a,11.45,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
112,Roerslev,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
113,Van den Berg,a,8.53,3,90,0,0,0,3,25-26-prem-nottingham-forest-vs-brentford,90,0,0,90,0,0,90,0,0,0,3,0,Defender
114,Arthur,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
115,Fredrick,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
116,Hickey,a,6.43,0,2,0,0,0,0,25-26-prem-nottingham-forest-vs-brentford,2,0,0,2,0,0,2,0,0,0,0,0,Defender
117,Ji-soo,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
